x,y
-1703.7888643425163,981.6353766218607
-1666.2868740068034,932.5619003708482
-1682.6446405737483,962.0248768977292
-1648.1502160755388,932.3751431541665
-1662.6242365072853,959.3857779095947
-1628.0849852936137,937.2045047418198
-1615.127156160214,934.213728339097
-1572.6055104397074,962.6527091826326
-1597.0478704153022,936.7637257733538
-1561.071438415179,963.3576364450224
-1551.3635776377623,980.2281138437944
-1487.7273118884737,968.5042493037718
-1506.8773711810636,941.8999829651756
-1454.408958714864,975.2564918848709
-1446.924816502565,980.1579795096793
-1476.7631608263302,940.3425634696041
-1420.4521425657877,975.8386332828318
-1402.345850294798,1002.5761976685701
-1444.3481786595632,941.9768422916947
-1383.6058562307226,975.7681599879123
-1376.890900095161,974.2482961598117
-1370.519430081907,975.2151882042807
-1423.0798834091618,942.7149472324253
-1407.8552592167168,939.0538338781308
-1386.0405992525557,943.5647037537753
-1342.0133829564834,953.7521162223014
-1328.1938100769175,949.1973965751392
-1306.3110932084553,952.8091506034044
-325.143060430373,3580.1778089483323
-329.0848169517066,3607.110921898491
-347.7867380636137,3675.8847109917947
-330.6009559978152,3624.3295123987564
-361.85371403398375,3674.0258814451504
-331.000770299984,3634.6798880113365
-378.2771432617741,3673.3869527450456
-348.2360397409774,3719.9246863694343
-367.606063569863,3720.041304891206
-383.6645360433749,3720.6305296787073
-288.9407197628644,3677.768650930163
-359.65469079775363,3752.7925473933565
-289.04984468302837,3683.8971877607873
-371.66582673890656,3763.972566832922
-289.83946804795914,3718.6791938503015
-389.8479760898525,3754.2633270010633
-273.8342668076642,3732.8266622551737
-396.5799339914939,3753.858734239222
-258.654117437366,3735.2172928472946
-363.68326813470554,3796.4131990419546
-244.75164803677737,3733.468893266212
-368.6314864495634,3802.205345799333
-299.6690834370073,3752.1289696237664
-388.3911597480865,3790.570582258151
-315.05541178779896,3763.178597666866
-410.1740267672968,3802.1252434202156
-307.0154378274262,3781.843816340344
-289.6473027201572,3804.4385626941175
-281.22913772377973,3800.0250608648994
-274.3244995334137,3797.903883649927
-324.0413940924278,3820.4283766159733
-328.5572226465297,3828.1077815127705
-327.9624054970544,3851.6549143051006
-326.19927747795685,4603.250356372697
-323.5104004223323,4612.239850557469
-337.7327999271775,4589.817570455644
-341.6910503020374,4608.447390378207
-353.47481134805815,4593.31409060015
-349.29704594219584,4594.134507436927
-383.10683159377976,4569.891487127429
-384.385712489717,4544.407896948764
-408.46827390895197,4581.010745324523
-407.6129784667881,4578.2846755594865
-396.77972339058886,4577.330398923145
-404.53907678967784,4580.174270202026
-427.29171634698184,4582.11320317818
-424.43578890718663,4578.700628989661
-437.12943215530817,4565.314542546048
-430.00859419261997,4540.4387300392
-461.4496629084146,4554.7230944365765
-478.99702072856155,4563.081280683759
-482.6069760072894,4560.730905411904
-481.3299023395982,4556.048115227791
-511.77368574544914,4561.476634389452
-503.029998682829,4554.262717717468
-528.3952726678839,4548.691696565929
-540.6487003166278,4553.86675836073
-554.2147248184932,4550.7098056054065
-573.7675386234031,4540.744596740599
-582.7531184152166,4545.076923387912
-576.5851363937516,4540.412019699707
-597.9993493854907,4539.136586302342
-605.3560949124067,4544.748686990791
-616.0338158800851,4540.568282012434
-626.0173490833859,4539.424010740281
-639.6846583062119,4541.011548340786
-646.9096484960425,4525.544355180503
-649.7080978305064,4529.507107166043
-679.6801503666536,4536.458048718095
-1120.0050190618042,158.91960939830898
-1117.1101293684544,164.47037066334772
-1114.8685672834508,172.54695390215278
-1107.984718050962,188.74880072400083
-1102.668068332635,198.01040052508367
-1084.6996164822178,234.2823152922748
-1081.711255684634,243.3480509818293
-1078.316710873215,252.47085659262984
-1070.6434846218033,262.77961323211304
-1067.75836382356,276.12628715521953
-1061.3421090449733,287.18548388132626
-1908.860217966507,2879.674011641796
-1907.4554185813552,2865.720089866311
-1909.186511791109,2859.6685246732177
-1884.758033794624,2864.2477042820406
-1879.0941971189127,2846.6573782639025
-1882.1504919836984,2835.986283062232
-1917.4988004763368,2830.415351345964
